"{""version"": ""0.0.0"", ""femprj_path"": ""tutorial_gau_ex08_parametric.femprj"", ""model_name"": ""ex8""}",prm.num.value,prm.num.lower_bound,prm.num.upper_bound,prm.num.value,prm.num.lower_bound,prm.num.upper_bound,prm.num.value,prm.num.lower_bound,prm.num.upper_bound,obj,obj_direction,,,,,,
,,,,,,,,,,,,,,,,,
trial,helical_pitch,helical_pitch_lower_bound,helical_pitch_upper_bound,coil_radius,coil_radius_lower_bound,coil_radius_upper_bound,n_turns,n_turns_lower_bound,n_turns_upper_bound,self-inductance (μF),self-inductance (μF)_direction,state,datetime_start,datetime_end,messages,feasibility,optimality
1,6.0,4.2,8.0,10.0,3.0,10.0,5.0,1.0,5.0,0.22558098054643744,0.1,Success,2025-05-19 20:58:25.641702,2025-05-19 20:58:25.641702,Main,True,False
2,5.623252451619978,4.2,8.0,9.655000144869414,3.0,10.0,3.9279757672456204,1.0,5.0,0.15998425645313086,0.1,Success,2025-05-19 20:58:49.514732,2025-05-19 20:58:49.514732,Main,True,False
3,6.474902239948739,4.2,8.0,4.092130483097056,3.0,10.0,1.6239780813448106,1.0,5.0,0.009670674071283551,0.1,Success,2025-05-19 20:59:09.891449,2025-05-19 20:59:09.891449,Main,True,False
4,4.420717726239158,4.2,8.0,9.063233020424546,3.0,10.0,3.404460046972835,1.0,5.0,0.13103755473368478,0.1,Success,2025-05-19 20:59:25.191941,2025-05-19 20:59:25.191941,Main,True,False
5,6.890675795624973,4.2,8.0,3.144091460070617,3.0,10.0,4.879639408647977,1.0,5.0,0.022882375171133878,0.1,Success,2025-05-19 20:59:43.683036,2025-05-19 20:59:43.683036,Main,True,False
6,6.246286602529915,4.2,8.0,9.781057761038515,3.0,10.0,3.2385798318945844,1.0,5.0,0.1192961632383439,0.1,Success,2025-05-19 21:00:03.059465,2025-05-19 21:00:03.059465,Main,True,False
7,7.999999999999999,4.2,8.0,7.788115459026643,3.0,10.0,3.364071515278621,1.0,5.0,0.07612094249680404,0.1,Success,2025-05-19 21:00:21.370048,2025-05-19 21:00:21.370048,Main,True,False
8,7.999999999999999,4.2,8.0,3.0,3.0,10.0,3.7321146485756187,1.0,5.0,0.016205903819613843,0.1,Success,2025-05-19 21:00:40.906411,2025-05-19 21:00:40.906411,Main,True,False
9,7.999999999999999,4.2,8.0,9.551932254441287,3.0,10.0,3.3629294142197907,1.0,5.0,0.10902472848050747,0.1,Success,2025-05-19 21:00:57.223370,2025-05-19 21:00:57.223370,Main,True,False
10,7.999999999999999,4.2,8.0,8.95379705211809,3.0,10.0,2.8522339381989106,1.0,5.0,0.0799905553041376,0.1,Success,2025-05-19 21:01:17.021603,2025-05-19 21:01:17.021603,Main,True,False
11,7.999999999999999,4.2,8.0,9.189623057181961,3.0,10.0,3.1971330994264804,1.0,5.0,0.09601210308710799,0.1,Success,2025-05-19 21:01:36.295786,2025-05-19 21:01:36.295786,Main,True,False
12,7.999999999999999,4.2,8.0,9.999999999999998,3.0,10.0,1.2285596139130228,1.0,5.0,0.030754268301767793,0.1,Success,2025-05-19 21:01:55.672612,2025-05-19 21:01:55.672612,Main,True,False
13,7.999999999999999,4.2,8.0,9.220829677067666,3.0,10.0,3.199041920868129,1.0,5.0,0.09685767878353951,0.1,Success,2025-05-19 21:02:12.544892,2025-05-19 21:02:12.544892,Main,True,True
14,7.999999999999999,4.2,8.0,9.217058434349111,3.0,10.0,3.1983954174090377,1.0,5.0,0.09633639612114048,0.1,Success,2025-05-19 21:02:35.027036,2025-05-19 21:02:35.028489,Main,True,False
15,7.999999999999999,4.2,8.0,9.999999999999998,3.0,10.0,3.062113646556187,1.0,5.0,0.10502848325262808,0.1,Success,2025-05-19 21:02:56.628107,2025-05-19 21:02:56.628107,Main,True,False
