"{""femprj_path"": null, ""model_name"": ""Ex14""}",prm,prm,obj,obj_direction,obj,obj_direction,obj,obj_direction,,,,,
,,,,,,,,,,,,,
trial,substrate_w,substrate_d,max temp. of<br>MAINCHIP (degree),max temp. of<br>MAINCHIP (degree)_direction,max temp. of<br>SUBCHIP (degree),max temp. of<br>SUBCHIP (degree)_direction,substrate size,substrate size_direction,non_domi,feasible,hypervolume,message,time
1,40.0,60.0,37.520370946989104,minimize,37.21957075945629,minimize,2400.0,minimize,True,True,0.0,initial,2024-07-10 09:22:32.333412
2,28.741722139252524,58.66928627306774,39.95088309730614,minimize,39.59942341677358,minimize,1686.2563226399373,minimize,True,True,2.9702298805437246e-05,,2024-07-10 09:22:50.162492
3,35.17589095260529,49.163779073319986,39.867379609229744,minimize,39.62643441524662,minimize,1729.3797347696782,minimize,True,True,0.0005491594068902331,,2024-07-10 09:23:08.882762
4,24.808335527963855,37.21185204907747,45.618667289337644,minimize,45.4540851106508,minimize,923.164108992346,minimize,True,True,0.0005566073405625285,,2024-07-10 09:23:26.230460
5,23.04550501902759,56.38675593592325,42.046916732385895,minimize,41.642550825352096,minimize,1299.4612650272293,minimize,True,True,0.0005567909231984892,,2024-07-10 09:23:48.376756
6,32.82007021137776,52.11795960049323,39.9187861641836,minimize,39.65372077479713,minimize,1710.515092752764,minimize,True,True,0.0007091441423771993,,2024-07-10 09:24:14.000506
7,22.370520897324443,59.18756600837385,41.85766092248071,minimize,41.41235961724448,minimize,1324.0566822231292,minimize,True,True,0.0007092394192476116,,2024-07-10 09:24:37.657137
8,36.98396753440759,38.733155988313456,41.459966487064435,minimize,41.32468375005018,minimize,1432.50578267643,minimize,True,True,0.0007260932069914804,,2024-07-10 09:24:59.942737
9,25.27284940972781,37.951921766042716,45.203996793697655,minimize,45.029457426451074,minimize,959.1532040919769,minimize,True,True,0.0007402991731647801,,2024-07-10 09:25:18.783451
10,27.476360373271678,47.16842365407042,42.20017927503306,minimize,41.94996082928182,minimize,1296.0166090811015,minimize,True,True,0.0007432067664113081,,2024-07-10 09:25:39.174652
11,30.35761516871566,42.82064718778404,42.23879430269339,minimize,42.04418338923452,minimize,1299.9327303125576,minimize,False,True,0.0007432067664113081,,2024-07-10 09:26:00.834219
12,39.45166799418159,54.41754192649335,38.28305390483224,minimize,38.02110116313516,minimize,2146.862796414889,minimize,True,True,0.0007445437960990507,,2024-07-10 09:26:26.483211
13,33.521593044416015,57.50694947262799,38.989900282254084,minimize,38.68463558063554,minimize,1927.7245558105535,minimize,True,True,0.0008565127002011553,,2024-07-10 09:27:10.540934
14,39.51381652632001,59.67156845010898,37.63649116769597,minimize,37.33201576608561,minimize,2357.85140797618,minimize,True,True,0.0009138674404290433,,2024-07-10 09:27:51.499456
15,27.034698907527144,51.95067544919728,41.4609465699833,minimize,41.16337804169455,minimize,1404.470867090637,minimize,True,True,0.0009230159949295026,,2024-07-10 09:28:26.595884
