File_Ver,Ver01,Femtet_2019.1
ボディ属性数,5
環境列数,3
その他列数,2

ボディ属性間熱流量
,SUB,GND,MAINCHIP,SUBCHIP,HOLE,環境[対流],環境[輻射],環境[熱伝達],その他[温度境界],その他[熱流束境界],発熱
SUB,0.000000e+00,-5.592994e-02,-7.014404e-02,-1.406324e-02,7.033597e-04,1.394339e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
GND,5.592994e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.313348e-01,7.540489e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
MAINCHIP,7.014404e-02,0.000000e+00,0.000000e+00,0.000000e+00,6.678713e-02,6.306883e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.000000e-01
SUBCHIP,1.406324e-02,0.000000e+00,0.000000e+00,0.000000e+00,6.384434e-02,2.209242e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e-01
HOLE,-7.033597e-04,1.313348e-01,-6.678713e-02,-6.384434e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00

ボディ属性間熱抵抗
,SUB,GND,MAINCHIP,SUBCHIP,HOLE,環境[対流],環境[輻射],環境[熱伝達]
SUB,INF,8.785832e-01,8.745490e+00,2.605609e+01,-3.132460e+02,1.127437e+02,INF,INF
GND,8.785832e-01,INF,INF,INF,1.303428e+00,2.091301e+02,INF,INF
MAINCHIP,8.745490e+00,INF,INF,INF,5.886155e+00,2.589827e+02,INF,INF
SUBCHIP,2.605609e+01,INF,INF,INF,2.288510e+00,7.281557e+02,INF,INF
HOLE,-3.132460e+02,1.303428e+00,5.886155e+00,2.288510e+00,INF,INF,INF,INF

温度
,平均温度,環境温度の数,環境温度
SUB,4.072029e+01,1,2.500000e+01
GND,4.076943e+01,1,2.500000e+01
MAINCHIP,4.133373e+01,1,2.500000e+01
SUBCHIP,4.108672e+01,1,2.500000e+01
HOLE,4.094062e+01,0,-3.000000e+02
